time;x;y;z;gforce
0,020;-0,03;-0,02;1,03;1,03
0,041;-0,05;-0,02;1,05;1,05
0,043;-0,06;-0,02;1,04;1,04
0,045;-0,06;-0,03;1,00;1,00
0,047;-0,06;-0,04;0,98;0,98
0,051;-0,06;-0,07;0,99;0,99
0,053;-0,07;-0,08;0,99;0,99
0,055;-0,06;-0,08;0,95;0,96
0,057;-0,06;-0,08;0,93;0,93
0,083;-0,07;-0,08;0,91;0,92
0,085;-0,09;-0,08;0,94;0,95
0,087;-0,08;-0,07;0,99;0,99
0,092;-0,07;-0,06;0,99;1,00
0,106;-0,07;-0,06;0,99;0,99
0,110;-0,07;-0,04;0,99;0,99
0,131;-0,09;-0,04;0,99;1,00
0,134;-0,10;-0,04;0,98;0,98
0,136;-0,10;-0,03;0,95;0,96
0,150;-0,08;-0,04;0,93;0,93
0,153;-0,07;-0,04;0,94;0,94
0,169;-0,08;-0,02;0,96;0,96
0,191;-0,08;-0,02;0,99;0,99
0,194;-0,08;-0,02;0,99;1,00
0,196;-0,07;-0,02;0,97;0,97
0,212;-0,07;-0,02;0,95;0,96
0,213;-0,07;-0,03;0,97;0,97
0,230;-0,06;-0,02;0,97;0,97
0,249;-0,05;0,00;0,97;0,97
0,251;-0,06;0,02;0,97;0,97
0,269;-0,06;0,02;0,98;0,98
0,271;-0,07;0,02;0,98;0,98
0,290;-0,08;0,02;0,99;0,99
0,292;-0,06;0,02;0,99;0,99
0,350;-0,06;0,02;0,99;0,99
0,352;-0,03;0,04;1,00;1,00
0,360;-0,01;0,05;1,02;1,02
0,363;0,00;0,06;1,03;1,03
0,371;0,01;0,06;1,03;1,03
0,388;-0,01;0,04;1,00;1,00
0,391;-0,02;0,02;1,00;1,00
0,393;-0,04;0,02;1,00;1,00
0,397;-0,05;0,01;0,99;0,99
0,399;-0,04;0,00;0,99;0,99
0,401;-0,04;-0,01;1,01;1,01
0,412;-0,05;0,00;1,04;1,04
0,414;-0,05;0,00;1,03;1,03
0,416;-0,05;-0,01;1,02;1,02
0,438;-0,05;-0,02;1,02;1,02
0,858;-0,04;-0,05;1,02;1,02
0,869;-0,02;-0,07;1,00;1,00
0,871;-0,02;-0,09;0,99;0,99
0,873;-0,02;-0,11;0,98;0,98
0,875;-0,06;-0,14;0,97;0,98
0,879;-0,11;-0,15;1,01;1,03
0,881;-0,11;-0,14;1,07;1,08
0,883;-0,06;-0,14;1,07;1,08
